filename,model,mean_input_tokens,mean_output_tokens,num_concurrent_requests,ttft_mean_s,ttft_p50_s,ttft_p95_s,inter_token_latency_mean_ms,inter_token_latency_p50_ms,inter_token_latency_p95_ms,e2e_latency_mean_s,e2e_latency_p50_s,e2e_latency_p95_s,output_throughput_mean_tok_per_s,request_throughput_mean_tok_per_s,requests_per_min,actual_input_tokens_mean,actual_output_tokens_mean,num_completed_requests,error_rate,num_errors
openai-gpt-oss-120_128_128_1_summary.json,openai/gpt-oss-120,128,128,1,0.0593,0.0596,0.0661,6.32,6.14,7.12,0.904,0.8604,1.688,186.6,181.73,65.67,189.4,170.5,100,0.0,0
openai-gpt-oss-120_128_128_5_summary.json,openai/gpt-oss-120,128,128,5,0.0763,0.074,0.096,11.53,11.34,12.65,1.5154,1.4642,2.7742,496.24,98.49,193.14,189.2,154.2,500,0.0,0
openai-gpt-oss-120_128_128_10_summary.json,openai/gpt-oss-120,128,128,10,0.0821,0.0776,0.1052,16.74,16.64,17.79,2.2594,2.1996,4.2325,682.57,67.64,260.66,190.3,157.1,1000,0.0,0
openai-gpt-oss-120_128_128_25_summary.json,openai/gpt-oss-120,128,128,25,0.1027,0.0897,0.118,21.51,21.28,22.88,2.9236,2.8551,5.5378,1328.79,52.65,504.28,189.6,158.1,2500,0.0,0
openai-gpt-oss-120_128_128_50_summary.json,openai/gpt-oss-120,128,128,50,0.1177,0.1145,0.1503,28.44,28.36,29.91,3.9239,3.8603,7.4108,2001.09,39.67,751.89,191.1,159.7,5000,0.0,0
openai-gpt-oss-120_128_2048_1_summary.json,openai/gpt-oss-120,128,2048,1,0.0815,0.0613,0.1599,5.91,5.87,6.06,10.2042,11.8326,12.8672,206.46,204.6,5.87,190.4,2109.1,100,0.0,0
openai-gpt-oss-120_128_2048_5_summary.json,openai/gpt-oss-120,128,2048,5,0.0803,0.0734,0.0831,10.64,10.63,10.76,18.6033,21.1396,22.8519,563.9,113.55,15.91,187.1,2126.3,500,0.0,0
openai-gpt-oss-120_128_2048_10_summary.json,openai/gpt-oss-120,128,2048,10,0.084,0.0777,0.0985,15.97,15.98,16.25,27.8231,31.8709,34.2859,751.95,75.66,21.29,188.7,2118.9,1000,0.0,0
openai-gpt-oss-120_128_2048_25_summary.json,openai/gpt-oss-120,128,2048,25,0.094,0.09,0.1059,20.29,20.28,20.68,35.3241,40.5961,43.9646,1471.5,59.28,41.89,190.5,2107.8,2500,0.0,0
openai-gpt-oss-120_128_2048_50_summary.json,openai/gpt-oss-120,128,2048,50,0.1341,0.1089,0.1288,25.19,25.2,25.36,43.8113,50.3644,54.4848,2395.71,47.82,68.18,191.6,2108.1,4136,0.0,0
openai-gpt-oss-120_2048_128_1_summary.json,openai/gpt-oss-120,2048,128,1,0.1287,0.1029,0.1118,6.96,6.32,9.12,0.9192,0.9007,1.5254,177.54,173.12,64.58,2046.5,164.9,100,0.0,0
openai-gpt-oss-120_2048_128_5_summary.json,openai/gpt-oss-120,2048,128,5,0.1523,0.1159,0.1861,14.21,12.96,19.07,1.8307,1.7582,3.472,433.91,85.55,161.57,2043.1,161.1,500,0.0,0
openai-gpt-oss-120_2048_128_10_summary.json,openai/gpt-oss-120,2048,128,10,0.1736,0.1272,0.2506,20.22,19.05,26.68,2.703,2.5853,5.2027,584.17,57.74,218.33,2047.1,160.5,1000,0.0,0
openai-gpt-oss-120_2048_128_25_summary.json,openai/gpt-oss-120,2048,128,25,0.1971,0.1697,0.2685,30.23,28.71,38.06,4.0433,3.9011,7.6712,974.26,38.59,365.37,2048.1,160.0,2500,0.0,0
openai-gpt-oss-120_2048_128_50_summary.json,openai/gpt-oss-120,2048,128,50,0.2654,0.2064,0.4049,45.86,43.84,56.78,6.2317,6.0354,12.0013,1271.11,25.23,474.93,2049.0,160.6,5000,0.0,0
openai-gpt-oss-120_2048_2048_1_summary.json,openai/gpt-oss-120,2048,2048,1,0.1266,0.1063,0.3229,5.84,5.83,5.94,11.1279,11.6856,12.5378,207.84,208.09,5.39,2045.0,2315.4,100,0.0,0
openai-gpt-oss-120_2048_2048_5_summary.json,openai/gpt-oss-120,2048,2048,5,0.1259,0.1154,0.1673,10.59,10.58,10.7,20.1023,21.1031,22.7184,564.23,114.13,14.75,2056.9,2295.9,500,0.0,0
openai-gpt-oss-120_2048_2048_10_summary.json,openai/gpt-oss-120,2048,2048,10,0.1449,0.127,0.1736,15.65,15.68,16.07,29.6434,31.1182,33.8264,764.22,77.26,20.01,2051.2,2291.3,1000,0.0,0
openai-gpt-oss-120_2048_2048_25_summary.json,openai/gpt-oss-120,2048,2048,25,0.1491,0.1296,0.189,19.8,19.81,20.18,37.6742,39.5069,42.8059,1522.03,61.08,39.67,2050.6,2302.0,2396,0.0,0
openai-gpt-oss-120_2048_2048_50_summary.json,openai/gpt-oss-120,2048,2048,50,0.1801,0.1504,0.2083,26.07,26.11,26.4,49.6919,52.2005,56.3045,2309.13,46.4,60.09,2050.8,2305.5,3640,0.0,0
