filename,model,mean_input_tokens,mean_output_tokens,num_concurrent_requests,ttft_mean_s,ttft_p50_s,ttft_p95_s,inter_token_latency_mean_ms,inter_token_latency_p50_ms,inter_token_latency_p95_ms,e2e_latency_mean_s,e2e_latency_p50_s,e2e_latency_p95_s,output_throughput_mean_tok_per_s,request_throughput_mean_tok_per_s,requests_per_min,actual_input_tokens_mean,actual_output_tokens_mean,num_completed_requests,error_rate,num_errors
openai-gpt-oss-120_128_128_1_summary.json,openai/gpt-oss-120,128,128,1,0.0402,0.0402,0.0456,5.24,5.12,5.7,0.7552,0.719,1.4197,222.82,219.39,78.44,189.4,170.4,100,0.0,0
openai-gpt-oss-120_128_128_5_summary.json,openai/gpt-oss-120,128,128,5,0.0583,0.046,0.0539,6.99,6.61,8.01,0.9086,0.8674,1.807,818.81,165.92,320.14,189.4,153.5,500,0.0,0
openai-gpt-oss-120_128_128_10_summary.json,openai/gpt-oss-120,128,128,10,0.0676,0.0487,0.0582,9.82,9.18,10.02,1.2726,1.2344,2.3942,1206.38,120.84,460.89,190.4,157.1,1000,0.0,0
openai-gpt-oss-120_128_128_25_summary.json,openai/gpt-oss-120,128,128,25,0.0754,0.0533,0.1028,11.52,10.9,14.21,1.5436,1.4958,3.0177,2511.6,101.03,950.46,189.6,158.6,2500,0.0,0
openai-gpt-oss-120_128_128_50_summary.json,openai/gpt-oss-120,128,128,50,0.1,0.0617,0.1482,14.89,13.86,20.37,2.0263,1.9573,3.9166,3862.58,78.35,1450.87,190.9,159.7,5000,0.0,0
openai-gpt-oss-120_128_2048_1_summary.json,openai/gpt-oss-120,128,2048,1,0.0511,0.041,0.1356,4.91,4.9,4.96,8.6086,9.8545,10.768,246.98,245.65,6.96,190.4,2129.1,100,0.0,0
openai-gpt-oss-120_128_2048_5_summary.json,openai/gpt-oss-120,128,2048,5,0.0473,0.045,0.0526,6.23,6.22,6.27,10.8252,12.3998,13.4215,957.54,192.89,27.32,187.8,2102.8,500,0.0,0
openai-gpt-oss-120_128_2048_10_summary.json,openai/gpt-oss-120,128,2048,10,0.0628,0.0513,0.057,8.79,8.77,8.83,14.999,17.4866,18.9123,1372.96,137.7,39.53,189.3,2083.8,1000,0.0,0
openai-gpt-oss-120_128_2048_25_summary.json,openai/gpt-oss-120,128,2048,25,0.0743,0.051,0.0624,10.06,10.05,10.11,17.2516,20.0368,21.7481,2967.95,119.6,85.67,191.0,2078.6,2500,0.0,0
openai-gpt-oss-120_128_2048_50_summary.json,openai/gpt-oss-120,128,2048,50,0.0718,0.0566,0.0656,11.23,11.42,11.5,19.7213,22.5947,24.6918,4606.33,107.92,129.44,191.0,2135.1,5000,0.0,0
openai-gpt-oss-120_2048_128_1_summary.json,openai/gpt-oss-120,2048,128,1,0.2359,0.0979,0.8895,7.23,5.61,14.47,0.9188,0.8789,1.7707,176.72,182.98,64.61,2046.5,164.1,100,0.0,0
openai-gpt-oss-120_2048_128_5_summary.json,openai/gpt-oss-120,2048,128,5,0.1895,0.1021,0.987,10.78,8.84,17.48,1.3531,1.2916,2.5769,587.3,119.78,218.68,2043.4,161.1,500,0.0,0
openai-gpt-oss-120_2048_128_10_summary.json,openai/gpt-oss-120,2048,128,10,0.1649,0.1087,0.1901,15.05,13.08,22.13,1.8962,1.8039,3.5991,833.49,82.87,311.18,2047.1,160.7,1000,0.0,0
openai-gpt-oss-120_2048_128_25_summary.json,openai/gpt-oss-120,2048,128,25,0.2037,0.1574,0.9914,22.99,20.48,33.62,3.0101,2.8253,5.931,1309.6,53.01,490.95,2048.2,160.0,2500,0.0,0
openai-gpt-oss-120_2048_128_50_summary.json,openai/gpt-oss-120,2048,128,50,0.2483,0.1677,1.0455,33.1,31.75,44.96,4.3385,4.0289,8.5239,1011.81,36.05,385.27,2051.8,157.6,921,0.0,0
openai-gpt-oss-120_2048_2048_1_summary.json,openai/gpt-oss-120,2048,2048,1,0.3308,0.101,0.9721,5.07,4.96,5.41,9.6846,10.057,11.152,238.85,239.38,6.19,2045.0,2316.0,100,0.0,0
openai-gpt-oss-120_2048_2048_5_summary.json,openai/gpt-oss-120,2048,2048,5,0.1318,0.1044,0.1079,6.38,6.34,6.74,12.0426,12.6724,13.8025,935.25,189.49,24.57,2055.8,2283.7,500,0.0,0
openai-gpt-oss-120_2048_2048_10_summary.json,openai/gpt-oss-120,2048,2048,10,0.1378,0.1063,0.1591,9.09,9.04,9.46,17.3289,18.0798,19.6712,1314.4,133.07,34.2,2051.2,2306.3,1000,0.0,0
openai-gpt-oss-120_2048_2048_25_summary.json,openai/gpt-oss-120,2048,2048,25,0.1287,0.1123,0.1718,10.52,10.47,10.94,19.9952,20.9205,22.7681,2724.88,115.06,71.06,2050.8,2300.8,2500,0.0,0
openai-gpt-oss-120_2048_2048_50_summary.json,openai/gpt-oss-120,2048,2048,50,0.1392,0.1103,0.1702,12.92,12.82,13.5,24.6597,25.6903,28.1356,4522.23,93.69,117.47,2050.2,2309.7,4186,0.0,0
